[2017/05/04 11:29:24]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/04 11:29:24]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/04 11:29:24]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/04 11:29:24]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/04 11:29:24]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/04 11:29:24]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/04 11:29:27]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  ; ERROR: 0 
[2017/05/04 11:29:29]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  ; ERROR: 0 
[2017/05/04 11:30:16]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/04 11:30:16]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/04 11:30:16]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/04 11:30:16]  SELECT * FROM pre_article WHERE artcate_id=2 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/04 11:30:16]  SELECT * FROM pre_article WHERE artcate_id=4 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/04 11:30:16]  SELECT * FROM pre_article WHERE artcate_id=5 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/04 11:30:16]  SELECT * FROM pre_article WHERE artcate_id=6 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/04 11:30:36]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/04 11:30:36]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/04 11:30:36]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/04 11:30:36]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/04 11:30:36]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/04 11:30:36]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/04 13:59:41]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/04 13:59:41]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
